Ngày,Giai đoạn / Session,Mục tiêu (Kế hoạch),Công việc thực hiện,Kết quả / Sản phẩm,Khó khăn & Vấn đề gặp phải,Cách xử lý,Trạng thái
2026-06-04,"S2 — Khởi tạo nền tảng","Dựng khung hệ thống quản lý gói cước Sim/eSim + kết nối dữ liệu sản phẩm","Thiết lập cấu trúc dự án Next.js; kết nối Supabase; nạp dữ liệu sản phẩm/SKU ban đầu","Khung web chạy được; bảng products/skus có dữ liệu","Chưa chuẩn hoá dữ liệu từ nhiều nguồn NCC","Quy ước schema chung (products, skus, ref tables)","Hoàn thành"
2026-06-05,"S3 — Chatbot nền","Cho chatbot trả lời được câu hỏi về sản phẩm","Tạo pipeline hỏi-đáp; inject context SKU vào prompt Gemini","Chatbot trả lời cơ bản về gói cước","Gemini không biết mã nội bộ GoHub","Inject summary SKU vào system prompt (Option 3)","Hoàn thành"
2026-06-06,"S3 tiếp + S4 — Tìm kiếm theo nước","Chatbot tìm đúng SKU theo quốc gia đích","Decode mã nhóm nước (ref_support_countries); workflow 4 bước map tên VN→EN→nhóm→SKU","Hỏi ""đi Nga"" ra đúng SKU RUS","Mã nước GoHub là custom (RUS, EU1, W04) không phải ISO; nằm ở ký tự 3-5 của SKU","Lookup ref_support_countries thay vì ref_countries; lọc product type C/E","Hoàn thành"
2026-06-07,"S5 + S6 — Tái cấu trúc Agent","Xây chatbot AI agent thông minh hơn","Rebuild kiến trúc agent; chuẩn hoá giá USD/VND theo latest_cogs","Chatbot phản hồi nhất quán admin/standard","Lẫn lộn giá final_cogs vs latest_cogs","Thống nhất dùng latest_cogs làm gốc quy đổi","Hoàn thành"
2026-06-08,"S7 + S8 — Lark bot","Tích hợp chatbot vào Lark + sửa lỗi","Cấu hình Lark webhook; fix lỗi bot trả lời","Bot Lark hoạt động cơ bản","Lark gửi double message; mất context","Dedup event_id; lưu lịch sử hội thoại","Hoàn thành"
2026-06-09,"S9–S17 — SP Hệ Thống & NCC","Hoàn thiện trang sản phẩm + nhận thức NCC + filter/performance","Nâng cấp SP Hệ Thống (4 tab); fix SP Vendor APN; bộ lọc + phân trang; chatbot nhận thức catalog NCC","Trang sản phẩm đầy đủ filter; chatbot phân biệt SP hệ thống vs NCC","Hiệu năng chậm khi lọc; định dạng APN WORLDMOVE","Cache reference 30 phút; chuẩn hoá APN; tối ưu query","Hoàn thành"
2026-06-10,"S23–S31 — Neo4j & Semantic","Phase 2 semantic search + Phase 3 graph + Phase 4 Neo4j auto-sync","Embeddings pgvector; graph quan hệ sản phẩm; GitHub Actions sync Neo4j; fix Lark thread @mention","Tìm kiếm ngữ nghĩa + đồng bộ tự động","@mention trong thread Lark không nhận; matching nước sai","Detect thread + normalize mention (chỉ thêm code, không refactor)","Hoàn thành"
2026-06-11,"S32–S36 — Nền dữ liệu","Làm sạch dữ liệu + luồng hỏi lại khi thiếu thông tin","Refactor buildToolContext; clarification flow; data foundation v2; dọn ncc_worldmove + audit DB","Dữ liệu sạch; chatbot biết hỏi lại khi thiếu","Dữ liệu NCC bẩn; nhận diện nước chưa chuẩn","DB cleanup + country recognition rules","Hoàn thành"
2026-06-12,"S37–S43 — KB, Wiki, MCP, NCC","Tab Khuyến Mãi + Knowledge Base MVP + Wiki + MCP Server + xử lý NCC","CRUD Khuyến Mãi; KB second-brain; Wiki Phase 2; MCP server; import WORLDMOVE; chuẩn format NCC","Hệ KB/Wiki/MCP + quy trình import NCC chuẩn","Định dạng file NCC mỗi nơi mỗi kiểu","Định nghĩa GoHub NCC Standard Format","Hoàn thành"
2026-06-13,"S44–S49 — Wiki v1 + Notifications","Hoàn thiện Wiki + RBAC KB + Trung tâm thông báo + sửa bug","Wiki v1 (Obsidian + Supabase kb_wiki_pages); RBAC KB; Notification Center; fix Bug #17-19; wikilinks + version","Wiki có điều hướng wikilink + phân quyền; thông báo realtime","Đồng bộ docs/wiki ↔ Supabase dễ tạo bản trùng","Upsert theo title; rename in-place qua title cũ","Hoàn thành"
2026-06-14,"S50–S53 — Bug & MRP","Dứt điểm Bug #21-30 + Phase 3 MRP","Fix loạt bug #21-30; debug bug #30; Phase 3 MRP","Hệ ổn định; MRP hoạt động","Bug #30 khó tái hiện","Debug từng bước + thêm test","Hoàn thành"
2026-06-15,"S54 — UI/UX + 3HK pricing","Sửa UI/UX + công thức giá 3HK FUP","Cleanup wiki ASCII/ngôn ngữ; UI fixes; công thức 3HK FUP pricing","Giá 3HK FUP tính đúng; UI gọn","Công thức FUP nhiều biến (throttle, GB/ngày)","Tách công thức theo loại gói; verify với COGS","Hoàn thành"
2026-06-16,"S55–S57 — Merge & Analytics","Lập Merge Plan gohub-intel + Phase 1-3 analytics","3HK template + agent tao-template; Merge Plan; Phase 1 Unified Shell; Phase 2 Core Analytics; Phase 3 Merge AI Agent","Khung analytics + agent merge","Hợp nhất 2 codebase (intel + PM)","Merge theo phase, giữ tương thích","Hoàn thành"
2026-06-17,"S58–S60 — Phase 4-5 Operations","Hoàn thiện báo cáo vận hành + công cụ BI","Sidebar grouping; Phase 4 (Customer/Product/Target/CS/3HK Usage); Phase 5 (SQL Explorer/Scheduled/Partner Tiers); All-Time Report; Lark sync; docs","Bộ báo cáo BI + công cụ quản trị đầy đủ","Hiệu năng analytics; bug #31/#32","Promise.all gom query; fix bug; thêm cache","Hoàn thành"
2026-06-18,"S61–S64 — Port intel + RBAC","Port analytics ""y đúc"" gohub-intel + phân quyền per-user + redesign B2C","Per-user analytics perms; sidebar English; chuẩn error message; port B2B/B2C; Cost Mgmt; UserList ma trận; gộp tab Phân quyền; pagination 20","Analytics khớp intel; phân quyền chi tiết","Giữ semantics quyền khi gộp tab","Test tab gộp + dropdown tên; fix semantics","Hoàn thành"
2026-06-19,"S65 — Đại tu Chatbot + Design System","Tái cấu trúc 4-agent + áp design system toàn app","Chatbot đọc đủ dữ liệu, bỏ overlap agent; design-kit từ mockup B2C; rollout dashboard-kit toàn analytics","Chatbot 4-agent + UI giảm tải nhận thức","Agent chồng chéo nhiệm vụ","Router rule-based + Gemini fallback; tách vai trò rõ","Hoàn thành"
2026-06-20,"S66–S70 — B2C Dashboard live","Hoàn thiện B2C (CAC/ROAS/GA4/GSC/Leads)","B2C #2.2/#2.3; CAC (Section 3) + Spend/ROAS (Section 5) từ Turso; GA4 Website; GSC; Leads Chatwoot; note công thức admin-only","Dashboard B2C đầy đủ 5 section + dữ liệu thật","Cấu hình GA4 2 property; nguồn leads riêng","GA4 config trong app_config; spend ở channel_group_costs","Hoàn thành"
2026-06-21,"S71–S72 — RBAC matrix + Guardian","Phân quyền Role×Report + Guardian Agent + E2E","Role×Report matrix; QA verify sidebar; deep-dive analytics; E2E 4 agent (Gemini + gohub_dw thật); Guardian pre-flight gate (web + Lark group)","Phân quyền chuẩn intel; Guardian chặn câu hỏi nội bộ; E2E pass","Routing chatbot + homograph ""nhất""; thinkingBudget=0","Fix routing; guardCheck chỉ chặn system_internal","Hoàn thành"
2026-06-22,"S73 — Phân quyền + UI port","Chặn bypass URL báo cáo + port UI 3 nhóm sidebar","Fix phân quyền report (bypass URL); tab PM theo phòng ban; phân trang; UI 3 nhóm sidebar ""y hệt"" intel","Không bypass được URL; UI khớp intel","Người dùng đổi URL để xem report cấm","Gate ở cả layout + API (deny-by-default)","Hoàn thành"
2026-06-23,"S74 — Đổi term CM1","Đồng bộ thuật ngữ GP2/GPM2 → CM1 theo Management Report","Đổi toàn bộ label GP2/GPM2→CM1, GPM2%→CM1% (FE + API); sync wiki Business-Metrics-Glossary; quy tắc check new_info.txt","Thuật ngữ thống nhất CM1 toàn hệ thống","Giữ data key/SQL alias không vỡ shape","Chỉ đổi label hiển thị; giữ alias lowercase gpm2","Hoàn thành"
2026-06-24,"S75 — Lark Netlify + Website","Fix Lark bot trên Netlify + tab Website + roles","Fix waitUntil (Netlify Free 10s) → xử lý đồng bộ + dedup; tab Website; default date; roles đầy đủ; DB status","Lark ổn định trên Netlify; tab Website live","Netlify không có waitUntil + giới hạn 10s","Bot xử lý đồng bộ + dedup event_id","Hoàn thành"
2026-06-25,"S76–S77 — Chuyển Vercel","Migrate deploy Netlify→Vercel + sync Turso + hardening","Deploy Vercel ""gohub-intel""; sync Turso→Supabase; GA4+GSC chatbot; fix timezone; creator nav; Settings dirty; analytics indexes; Guardian hardening","Production live trên Vercel; chatbot có GA4/GSC","Netlify hết hạn; lệch timezone ngày","Chuyển Vercel; fix getPrevDateFilter timezone; cache","Hoàn thành"
2026-06-26,"S78 — Fix B2B + Item Type","Fix giá B2B sai + cấu hình Item Type theo kênh + Vendor Performance","Fix B2B giá sai; Item Type Channel config (prefix B2C/B2B); fix bug Vendor Performance","Giá B2B đúng kênh; vendor performance chuẩn","Lẫn giá OD/WS/Strategic giữa các kênh","Cấu hình prefix item_type theo kênh trong Settings","Hoàn thành"
2026-06-27,"S78 — Chuẩn hoá repo + QA Pipeline","Chuẩn hoá cấu trúc thư mục + 28 wiki tab + bộ kiểm thử tự động","Tạo docs/wiki/Tab (28 file); gom ENV; restructure backend/ resources/ .ai/; Husky pre-commit scan-secrets; Vitest 13 test; Playwright; build PASS","Repo chuẩn hoá + CI/CD an toàn + test tự động","Rò rỉ secret/data nhạy cảm lên GitHub","Husky hook quét secret + .gitignore data nhạy cảm","Hoàn thành"
2026-06-28,"S79–S80 — Deploy + RBAC creator + 3HK","Fix deploy + dashboard destinations + RBAC creator + 3HK Data Usage","Fix Vercel Git author block; dashboard ""Top Destinations"" tên nước; bỏ Turso users; sweep ~36 API cho creator; 3HK Data Usage (fix vendor string, speed-map mã cũ→mới, giá, chart)","Production ổn định; creator hết 403; tab 3HK đầy đủ","creator bị 403 âm thầm (thiếu trong ANALYTICS_ROLES); vendor '3HK DATAPOOL' có dấu cách → query rỗng","Thêm creator vào allow-list; REPLACE(UPPER(vendor),' ','')","Hoàn thành"
2026-06-28,"S81 — Wiki/KB + Cache","Fix rò trang ẩn KB + Scheduled view-all + tối ưu tốc độ analytics","Wiki dùng role DB tươi (getDbRole) chống stale JWT; Scheduled mọi role được cấp đều xem + Người tạo; cache 2 tầng TTL 12h + cron prewarm 06:30; fix bug L2 cache chưa từng chạy","Hết rò trang ẩn; analytics nhanh hẳn khi lặp lại","supabaseAdmin lọt client bundle (trắng trang KB); void upsert không gửi request (builder lazy)","Tách lib/db-role.ts server-only; await L2 upsert","Hoàn thành"
2026-06-28,"S82 — UI + Gộp Users + Targets","Cải thiện UI sidebar + gộp quản lý User + sửa KPI/Target + dọn Admin","Tăng tương phản sidebar, nền màu nhóm đậm + tab active sáng; đổi chatbot→""Bé Gấu"", Information→""Note""; gộp tab User + ""Người dùng & Phân quyền"" thành 1 trang; fix creator view-only KPI/Target; dọn trùng Admin (Guardian/Role Filters) + chuyển KPI/Ngân sách B2C về KPI/Target","UI dễ nhìn; 1 cửa quản lý user; KPI/Target creator sửa được; Admin sạch trùng","Component user-admin lớn, nhiều phụ thuộc; tránh import server-only vào client","Tách components/user-admin.tsx; verify tsc + build mỗi bước","Hoàn thành"
